    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               1,              0,         1,           1,          0
    3,             3,               3,              0,         3,           3,          0
    4,             4,               3,              0,         5,           5,          0
    5,             5,               3,              0,         6,           6,          0
    6,             7,               4,              0,         8,           8,          0
    7,            10,               6,              0,        11,          11,          0
    8,            11,               6,              0,        14,          14,          0
    9,            12,               6,              0,        15,          15,        997
   10,            13,               6,              0,        18,          18,          0
   11,            15,               7,              0,        21,          21,          0
   12,            16,               7,              0,        23,          23,          0
   13,            18,               8,              0,        24,          24,          0
   14,            19,               8,              0,        29,          29,          0
   15,            20,               8,              0,        30,          30,          0
   16,            22,               9,              0,        36,          36,          0
   17,            25,              11,              0,        38,          38,          0
   18,            26,              11,              0,        40,          40,          0
   19,            27,              11,            999,        41,          41,          0
   20,            29,              12,              0,        47,          47,          0
   21,            30,              12,              0,        51,          51,          0
   22,            31,              12,              0,        51,          51,          0
   23,            33,              13,              0,        54,          54,          0
   24,            34,              13,              0,        61,          61,          0
   25,            35,              13,           1024,        62,          62,          0
   26,            36,              13,              0,        62,          62,        979
   27,            37,              13,              0,        63,          63,          0
   28,            41,              16,              0,        72,          72,        999
   29,            43,              17,              0,        75,          75,          0
   30,            44,              17,           1000,        79,          79,          0
   31,            45,              17,              0,        82,          82,        998
   32,            46,              17,              0,        88,          88,          0
   33,            49,              19,           1001,        90,          90,          0
   34,            51,              20,              0,        93,          93,       1006
   35,            55,              23,              0,        95,          95,        999
   36,            56,              23,              0,       101,         101,          0
   37,            57,              23,            998,       102,         102,          0
   38,            59,              24,              0,       104,         104,       1016
   39,            60,              24,              0,       108,         108,          0
   40,            61,              24,              0,       114,         114,          0
   41,            62,              24,              0,       115,         115,       1008
   42,            64,              25,              0,       122,         122,          0
   43,            67,              27,              0,       125,         125,          0
   44,            69,              28,              0,       127,         127,       1002
   45,            70,              28,              0,       131,         131,       1000
   46,            71,              28,              0,       134,         134,          0
   47,            73,              29,            999,       137,         137,          0
   48,            76,              31,            997,       147,         147,          0
   49,            77,              31,              0,       149,         149,          0
   50,            78,              31,           1002,       153,         153,          0
   51,            80,              32,              0,       155,         155,        999
   52,            82,              33,              0,       155,         155,       1018
   53,            83,              33,              0,       160,         160,        999
   54,            84,              33,              0,       161,         161,       1013
   55,            85,              33,              0,       165,         165,        986
   56,            86,              33,              0,       172,         172,          0
   57,            87,              33,            999,       175,         175,          0
   58,            88,              33,           1000,       182,         182,          0
   59,            89,              33,              0,       182,         182,        999
   60,            90,              33,              0,       189,         189,          0
   61,            91,              33,              0,       193,         193,       1022
   62,            92,              33,              0,       198,         198,       1000
   63,            93,              33,              0,       201,         201,        998
   64,            95,              34,              0,       207,         207,        998
   65,            96,              34,              0,       209,         209,       1000
   66,            97,              34,              0,       213,         213,        997
   67,            98,              34,              0,       215,         215,       1000
   68,            99,              34,              0,       217,         217,       1003
   69,           100,              34,              0,       218,         218,        997
   70,           101,              34,              0,       221,         221,        999
   71,           102,              34,              0,       225,         225,        999
   72,           103,              34,              0,       230,         230,       1000
   73,           104,              34,              0,       232,         232,        999
   74,           105,              34,              0,       237,         237,          0
   75,           106,              34,            999,       240,         240,       1002
   76,           107,              34,              0,       240,         240,       1000
   77,           108,              34,            999,       242,         242,          0
   78,           109,              34,              0,       249,         249,        998
   79,           111,              35,           1000,       254,         254,       1002
   80,           112,              35,              0,       261,         261,        997
   81,           113,              35,              0,       263,         263,       1001
   82,           114,              35,           1024,       265,         265,        999
   83,           115,              35,              0,       268,         268,        999
   84,           117,              36,              0,       275,         275,       1000
   85,           118,              36,              0,       278,         278,       1000
   86,           121,              38,              0,       283,         283,       1000
   87,           122,              38,              0,       287,         287,       1036
   88,           123,              38,            964,       290,         290,        978
   89,           124,              38,           1008,       294,         294,        996
   90,           125,              38,            994,       297,         297,        998
   91,           126,              38,              0,       301,         301,       1520
   92,           127,              38,              0,       306,         306,       1024
   93,           128,              38,              0,       310,         310,        999
   94,           129,              38,              0,       311,         311,        999
   95,           130,              38,              0,       319,         319,       1000
   96,           131,              38,            999,       328,         328,       1000
   97,           132,              38,              0,       330,         330,       1000
   98,           133,              38,           1180,       331,         331,        796
   99,           134,              38,              0,       335,         335,       1017
  100,           135,              38,              0,       342,         342,       1000
  101,           137,              39,              0,       344,         344,       2000
  102,           138,              39,              0,       347,         347,        989
  103,           139,              39,              0,       350,         350,        993
  104,           140,              39,              0,       352,         352,       1015
  105,           141,              39,              0,       354,         354,       1000
  106,           142,              39,              0,       359,         359,        999
  107,           144,              40,              0,       364,         364,       1000
  108,           147,              42,              0,       366,         366,        999
  109,           148,              42,              0,       370,         370,       1000
  110,           149,              42,              0,       376,         376,        999
  111,           150,              42,              0,       381,         381,        989
  112,           153,              44,              0,       390,         390,       1010
  113,           154,              44,              0,       393,         393,       1000
  114,           155,              44,              0,       398,         398,        999
  115,           157,              45,              0,       400,         400,        999
  116,           159,              46,              0,       410,         410,       1000
  117,           161,              47,              0,       415,         415,        999
  118,           162,              47,              0,       416,         416,          0
  119,           163,              47,              0,       420,         420,        999
  120,           164,              47,              0,       428,         428,       1000
  121,           165,              47,              0,       431,         431,        999
  122,           166,              47,              0,       440,         440,        999
  123,           167,              47,              0,       441,         441,       1000
  124,           169,              48,              0,       449,         449,       1000
  125,           170,              48,              0,       453,         453,          0
  126,           171,              48,            999,       460,         460,        992
  127,           172,              48,              0,       465,         465,       1007
  128,           174,              49,              0,       470,         470,        999
  129,           175,              49,              0,       472,         472,       1000
  130,           178,              51,              0,       475,         475,       1000
  131,           179,              51,              0,       480,         480,        999
  132,           180,              51,              0,       484,         484,       1000
  133,           182,              52,              0,       483,         483,       1000
