   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           1,          0
   3,             3,               1,              0,         2,           2,          0
   4,             4,               1,              0,         5,           5,          0
   5,             8,               4,              0,         8,           8,          0
   6,            11,               6,              0,        10,          10,          0
   7,            16,              10,           1025,        13,          13,          0
   8,            20,              13,              0,        16,          16,          0
   9,            26,              18,              0,        19,          19,          0
  10,            28,              19,              0,        25,          25,          0
  11,            30,              20,              0,        27,          27,          0
  12,            33,              22,              0,        28,          28,          0
  13,            34,              22,              0,        32,          32,          0
  14,            42,              29,              0,        38,          38,        997
  15,            51,              37,              0,        42,          42,          0
  16,            62,              47,              0,        46,          46,          0
  17,            78,              62,              0,        51,          51,          0
  18,            91,              74,              0,        53,          53,          0
  19,            96,              78,           1000,        59,          59,          0
  20,           110,              91,              0,        66,          66,       1001
  21,           128,             108,              0,        72,          72,          0
  22,           131,             110,            999,        75,          75,          0
  23,           132,             110,              0,        76,          76,        998
  24,           154,             131,              0,        80,          80,       1000
  25,           176,             152,              0,        84,          84,          0
  26,           189,             164,           1000,        92,          92,          0
  27,           213,             187,           1001,        95,          95,          0
  28,           235,             208,            999,       104,         104,          0
  29,           250,             222,           1000,       108,         108,          0
  30,           266,             237,           1003,       113,         113,          0
  31,           275,             245,            997,       117,         117,          0
  32,           286,             255,           1000,       120,         120,          0
  33,           312,             280,           1000,       126,         126,       1003
  34,           342,             309,            997,       133,         133,          0
  35,           373,             339,              0,       136,         136,        996
  36,           385,             350,              0,       145,         145,          0
  37,           414,             378,              0,       147,         147,        999
  38,           437,             400,              0,       152,         152,          0
  39,           457,             419,           1000,       160,         160,          0
  40,           482,             443,           1000,       169,         169,          0
  41,           513,             473,           1510,       175,         175,          0
  42,           535,             494,           1001,       178,         178,        999
  43,           573,             531,           2005,       183,         183,       1240
  44,           580,             537,           1004,       193,         193,       1478
  45,           618,             574,           1017,       199,         199,          0
  46,           622,             577,           1004,       197,         197,          0
  47,           656,             610,           1003,       200,         200,       1003
  48,           692,             645,           1003,       206,         206,          0
  49,           720,             672,           1014,       212,         212,          0
  50,           735,             686,           2282,       219,         219,          0
  51,           776,             726,           1468,       229,         229,       1260
  52,           789,             738,           1023,       232,         232,          0
  53,           791,             739,           1003,       236,         236,       1001
  54,           832,             779,           1001,       244,         244,       1001
  55,           863,             809,           2000,       248,         248,        997
  56,           882,             827,           1001,       263,         263,        998
  57,           896,             840,           1000,       267,         267,       1000
  58,           906,             849,           2007,       267,         267,        995
  59,           947,             889,            999,       280,         280,          0
  60,           960,             901,            999,       287,         287,       1004
  61,          1020,             961,           2144,       289,         289,          0
  62,          1042,             982,            996,       297,         297,        999
  63,          1058,             997,            999,       303,         303,       1001
  64,          1060,             998,           2000,       309,         309,       1002
  65,          1094,            1031,           3003,       316,         316,       1309
  66,          1104,            1040,           3069,       318,         318,       1003
  67,          1130,            1065,           3000,       325,         325,       1002
  68,          1183,            1117,           3349,       335,         335,       1274
  69,          1184,            1117,           1008,       339,         339,       1138
  70,          1225,            1157,           2005,       343,         343,          0
  71,          1255,            1186,           2016,       350,         350,       1002
  72,          1305,            1235,           3238,       361,         361,       1018
  73,          1375,            1304,           2440,       368,         368,       1004
  74,          1406,            1334,           2014,       370,         370,       1002
  75,          1471,            1398,           2004,       373,         373,          0
  76,          1539,            1465,           3003,       382,         382,          0
  77,          1570,            1495,           3056,       390,         390,       1000
  78,          1608,            1532,           3327,       397,         397,       1001
  79,          1650,            1573,           2508,       402,         402,       1022
  80,          1707,            1629,           2004,       413,         413,       1007
  81,          1762,            1683,           2018,       418,         418,        999
  82,          1808,            1728,           2984,       423,         423,          0
  83,          1852,            1771,           4001,       431,         431,        996
  84,          1929,            1847,           2013,       436,         436,        986
  85,          1976,            1893,           3014,       439,         439,        999
  86,          1985,            1901,           3991,       452,         452,       1000
  87,          2065,            1980,           2998,       464,         464,        998
  88,          2115,            2029,           2996,       473,         473,        999
  89,          2169,            2082,           3005,       477,         477,        999
  90,          2223,            2135,           3997,       484,         484,        998
  91,          2267,            2178,           3000,       492,         492,       1047
  92,          2326,            2236,           3957,       487,         487,       1015
  93,          2333,            2242,           3983,       492,         492,       1006
  94,          2426,            2335,           4995,       497,         497,        999
  95,          2504,            2412,           3998,       504,         504,       1001
  96,          2518,            2425,           5998,       509,         509,       1001
  97,          2576,            2482,           2998,       516,         516,       1000
  98,          2578,            2483,           3999,       524,         524,       1001
  99,          2633,            2537,           4999,       535,         535,       1002
 100,          2660,            2563,           3996,       544,         544,       1000
 101,          2740,            2642,           3506,       550,         550,        999
 102,          2808,            2709,           5000,       559,         559,       1000
 103,          2812,            2712,           4002,       564,         564,       1000
 104,          2915,            2815,           3999,       574,         574,       1000
 105,          2928,            2827,           6000,       582,         582,       1001
 106,          3010,            2908,           4012,       581,         581,       1012
 107,          3015,            2912,           3999,       585,         585,        987
 108,          3020,            2916,           3998,       597,         597,       2001
 109,          3115,            3010,           3998,       602,         602,       1000
 110,          3127,            3021,           5000,       606,         606,       1001
 111,          3217,            3110,           4999,       608,         608,       1001
 112,          3246,            3138,           3998,       629,         629,       2000
 113,          3348,            3239,           4998,       637,         637,       1000
 114,          3409,            3299,           5000,       640,         640,        999
 115,          3513,            3402,           6002,       656,         656,        998
 116,          3566,            3454,           4999,       657,         657,        999
 117,          3671,            3558,           5000,       664,         664,       1004
 118,          3686,            3572,           5524,       671,         671,       1000
 119,          3738,            3623,           5992,       684,         684,       2002
 120,          3833,            3717,           7997,       686,         686,       1000
 121,          3883,            3766,           4999,       693,         693,       1000
 122,          3908,            3790,           4999,       697,         697,       2000
 123,          3915,            3796,           5998,       708,         708,        999
